Date,F,SOL,REDU
3/2/2015,16.57,6.85,16.61
3/3/2015,16.17,6.75,15.14
3/4/2015,16.03,7.15,14.27
3/5/2015,16.11,8.15,12.21
3/6/2015,15.93,7.7,12.3
3/9/2015,16.03,7.2,13.74
3/10/2015,15.72,6.75,14.36
3/11/2015,15.75,6.45,14.14
3/12/2015,16.17,6.55,12.92
3/13/2015,16.2,6.45,12.85
3/16/2015,16.49,6.5,13.33
3/17/2015,16.39,7,13.57
3/18/2015,16.46,7.2,12.75
3/19/2015,16.34,7.4,12.31
3/20/2015,16.48,8.1,12.13
3/23/2015,16.57,7.6,11.42
3/24/2015,16.56,8,10.81
3/25/2015,16.18,7.4,10.32
3/26/2015,16.01,7.35,9.72
3/27/2015,15.98,7.45,9.89
3/30/2015,16.16,7.25,10.69
3/31/2015,16.14,7.35,9.78
4/1/2015,15.91,7.5,9.75
4/2/2015,16.03,8,10.06
4/6/2015,16,8.3,9.63
4/7/2015,15.9,8,10.59
4/8/2015,15.98,7.95,9.92
4/9/2015,15.95,7.95,9.97
4/10/2015,16.03,8.05,10.17
4/13/2015,15.87,8.9,10.06
4/14/2015,15.97,9.2,10.07
4/15/2015,16.07,9.7,10.37
4/16/2015,15.94,9.55,10.56
4/17/2015,15.76,8.9,10.81
4/20/2015,15.91,9.4,11.15
4/21/2015,15.82,9.15,11.76
4/22/2015,15.91,9.15,12.3
4/23/2015,15.76,9.2,11.97
4/24/2015,15.77,8.85,12.2
4/27/2015,15.9,8.9,12.36
4/28/2015,16.06,8.95,12.34
4/29/2015,16.02,8.95,12.61
4/30/2015,15.8,8.5,12.53
5/1/2015,15.81,8.45,12.55
5/4/2015,15.78,8.5,12.5
5/5/2015,15.53,8.25,12.8
5/6/2015,15.48,7.8,14.24
5/7/2015,15.51,7.2,14.62
5/8/2015,15.67,7.5,14.79
5/11/2015,15.65,8.1,14.88
5/12/2015,15.56,8.45,15.31
5/13/2015,15.41,8.4,15.11
5/14/2015,15.27,8.3,15
5/15/2015,15.48,8.2,14.94
5/18/2015,15.58,7.85,14.49
5/19/2015,15.5,7.3,14.91
5/20/2015,15.3,7.55,14.98
5/21/2015,15.51,7.6,14.96
5/22/2015,15.27,7.5,14.64
5/26/2015,15.19,7.4,14.96
5/27/2015,15.32,7.35,14.95
5/28/2015,15.29,7.55,16.3
5/29/2015,15.17,7.3,16.3
6/1/2015,15.36,7.15,16.06
6/2/2015,15.26,6.85,16.4
6/3/2015,15.2,6.6,16.34
6/4/2015,15.05,6.5,16.3
6/5/2015,14.78,7,16.5
6/8/2015,14.9,6.55,16.45
6/9/2015,14.88,6.6,16.45
6/10/2015,15.03,6.8,16.45
6/11/2015,15.28,6.9,16
6/12/2015,15.23,6.95,14
6/15/2015,15.05,7.25,15.61
6/16/2015,15,7.2,15.8
6/17/2015,15.02,7.15,15.27
6/18/2015,15.14,7.55,15.54
6/19/2015,15.11,8.45,15.97
6/22/2015,15.13,8.05,16
6/23/2015,15.29,7.8,16.34
6/24/2015,15.5,7.55,16.47
6/25/2015,15.44,7.5,16.39
6/26/2015,15.4,7.25,16.38
6/29/2015,15.02,6.85,16.31
6/30/2015,15.01,6.85,16.06
7/1/2015,14.99,6.7,16.48
7/2/2015,14.87,7,15.92
7/6/2015,14.79,6.85,16.49
7/7/2015,14.85,6.65,16.49
7/8/2015,14.37,6.3,15.55
7/9/2015,14.33,6.55,15.38
7/10/2015,14.48,6.55,15.39
7/13/2015,14.64,6.75,15.84
7/14/2015,14.81,6.9,15.81
7/15/2015,14.75,6.8,15.65
7/16/2015,14.57,7.05,15.67
7/17/2015,14.69,7.2,17.08
7/20/2015,14.57,7,17.41
7/21/2015,14.51,6.8,17.08
7/22/2015,14.42,6.5,16.34
7/23/2015,14.61,6.5,14.34
7/24/2015,14.39,6.5,16.48
7/27/2015,14.55,6.45,16.98
7/28/2015,14.83,6.6,17.03
7/29/2015,15.21,6.55,15.47
7/30/2015,15.1,6.5,15.83
7/31/2015,14.83,6.55,14.94
8/3/2015,14.94,6.35,15.06
8/4/2015,14.91,6.35,15.1
8/5/2015,14.8,6.8,15.31
8/6/2015,14.83,6.7,15.02
8/7/2015,14.8,6.55,14.88
8/10/2015,14.99,6.6,15.06
8/11/2015,14.7,6.5,15.28
8/12/2015,14.68,6.4,14.95
8/13/2015,14.71,6.45,15.36
8/14/2015,14.78,6.45,14.98
8/17/2015,14.68,6.6,15.39
8/18/2015,14.83,6.65,15.36
8/19/2015,14.77,6.5,15.04
8/20/2015,14.43,6.35,14.93
8/21/2015,13.86,6.2,14.97
8/24/2015,13.19,5.85,15.09
8/25/2015,12.9,5.8,15.82
8/26/2015,13.21,5.45,16.1
8/27/2015,13.56,5.7,16.03
8/28/2015,13.74,6.3,16.24
8/31/2015,13.87,6.2,16.45
9/1/2015,13.72,6.1,15.72
9/2/2015,13.87,6.15,15.95
9/3/2015,13.84,6.25,16.33
9/4/2015,13.56,6.25,15.6
9/8/2015,13.67,6.3,15.7
9/9/2015,13.53,6.4,15.63
9/10/2015,13.73,6.4,15.58
9/11/2015,13.71,6.25,15.69
9/14/2015,13.78,6,15.54
9/15/2015,14.31,5.6,16.02
9/16/2015,14.64,5.7,16.17
9/17/2015,14.6,5.5,17.15
9/18/2015,14.28,4.75,17.21
9/21/2015,14.32,5,17.75
9/22/2015,13.92,5,17.02
9/23/2015,13.68,4.93,16.34
9/24/2015,13.65,4.88,15.87
9/25/2015,13.53,4.88,16.24
9/28/2015,13.12,4.6,16.11
9/29/2015,13.15,4.75,16.18
9/30/2015,13.57,4.86,16.03
10/1/2015,13.67,5.4,16.02
10/2/2015,13.99,5.95,15.93
10/5/2015,14.19,6.75,15.74
10/6/2015,14.31,6.8,15.69
10/7/2015,14.75,6.5,16.38
10/8/2015,14.99,6.7,16.01
10/9/2015,14.97,6.75,15.45
10/12/2015,14.98,6.55,15.02
10/13/2015,14.94,6.7,14.6
10/14/2015,15.01,7.2,14.7
10/15/2015,15.22,7.35,14.5
10/16/2015,15.28,7.35,14.5
10/19/2015,15.36,7.15,14
10/20/2015,15.38,7.3,13.91
10/21/2015,15.41,7.05,13.91
10/22/2015,15.58,6.95,15.15
10/23/2015,15.67,7,14.62
10/26/2015,15.68,6.95,14.69
10/27/2015,14.89,6.6,14.4
10/28/2015,14.97,6.85,14.56
10/29/2015,14.73,6.6,14.32
10/30/2015,14.81,6.6,14.72
11/2/2015,14.75,6.8,14.2
11/3/2015,14.81,7,14.08
11/4/2015,14.65,6.95,14.12
11/5/2015,14.57,6.8,14.23
11/6/2015,14.52,7.05,14.51
11/9/2015,14.33,7.05,14.09
11/10/2015,14.28,6.55,14.75
11/11/2015,14.31,6.4,14.57
11/12/2015,14.04,6.3,13.81
11/13/2015,13.92,6.3,13.42
11/16/2015,14.04,6.7,13.74
11/17/2015,14.15,6.6,13.93
11/18/2015,14.46,6.45,13.27
11/19/2015,14.57,6.45,13.14
11/20/2015,14.6,6.25,13
11/23/2015,14.55,6.25,12.78
11/24/2015,14.55,6.5,12.67
11/25/2015,14.55,6.55,12.98
11/27/2015,14.53,6.5,13.19
11/30/2015,14.33,6.45,13.37
12/1/2015,14.56,6.55,13.14
12/2/2015,14.26,6.75,13.23
12/3/2015,13.98,6.9,12.8
12/4/2015,14.2,6.55,13.28
12/7/2015,14.12,6.65,13.01
12/8/2015,13.97,6.65,12.76
12/9/2015,13.89,6.45,13.12
12/10/2015,13.96,6.6,12.9
12/11/2015,13.64,6.5,12.78
12/14/2015,13.62,6.6,12.76
12/15/2015,13.87,6.55,12.84
12/16/2015,14.36,7.45,12.89
12/17/2015,13.98,7.6,12.6
12/18/2015,13.8,8.1,11.42
12/21/2015,13.73,8.85,11.1
12/22/2015,14.2,8.55,11.13
12/23/2015,14.36,9.45,11.03
12/24/2015,14.31,9.55,10.66
12/28/2015,14.18,9.45,10.29
12/29/2015,14.23,9.4,10.31
12/30/2015,14.17,8.85,10.46
12/31/2015,14.09,8.5,10.29
1/4/2016,13.97,9.1,10.65
1/5/2016,13.72,8.9,10.48
1/6/2016,13.11,9.05,10.44
1/7/2016,12.7,8.45,9.83
1/8/2016,12.54,8.5,10.55
1/11/2016,12.77,8.25,10.25
1/12/2016,12.85,8.25,9.91
1/13/2016,12.2,8.15,10
1/14/2016,12.19,8.25,10.14
1/15/2016,11.97,7.3,9.89
1/19/2016,11.95,7.3,9.95
1/20/2016,11.9,7,10.22
1/21/2016,12.01,7.35,10.62
1/22/2016,12.14,7.75,10.63
1/25/2016,11.98,7.45,10.83
1/26/2016,12.26,7.7,11.09
1/27/2016,11.85,7.65,11.51
1/28/2016,11.71,7.55,12.42
1/29/2016,11.94,7.85,12.24
2/1/2016,12.07,7.6,12.07
2/2/2016,11.51,7,11.63
2/3/2016,11.46,7.2,11.51
2/4/2016,11.53,7.2,11.75
2/5/2016,11.45,7.2,11.83
2/8/2016,11.59,6.9,12.26
2/9/2016,11.35,6.5,11.95
2/10/2016,11.34,6.3,11.94
2/11/2016,11.17,6.1,11.67
2/12/2016,11.55,6.3,11.54
2/16/2016,11.87,6.45,11.65
2/17/2016,12.27,6.9,11.46
2/18/2016,12.26,6.9,10.92
2/19/2016,12.1,7.1,10.88
2/22/2016,12.56,7.35,11.47
2/23/2016,12.42,7.1,11.11
2/24/2016,12.08,7.25,11.09
2/25/2016,12.39,7.3,10.88
2/26/2016,12.47,7.2,10.74
2/29/2016,12.51,7.2,10.66
3/1/2016,13.09,7.15,10.69
3/2/2016,13.22,7.3,10.59
3/3/2016,13.54,7.5,10.4
3/4/2016,13.59,7.25,10.79
3/7/2016,13.62,7.3,10.44
3/8/2016,13.23,7.25,10.3
3/9/2016,13.19,7.05,12
3/10/2016,13.15,6.95,11.37
3/11/2016,13.29,7,11.5
3/14/2016,13.27,7.35,11.56
3/15/2016,13.23,7.45,12
3/16/2016,13.5,7.4,11.62
3/17/2016,13.47,7.3,11.21
3/18/2016,13.64,7.55,11.15
3/21/2016,13.66,7.45,11.01
3/22/2016,13.59,7.45,11.01
3/23/2016,13.26,7.15,10.58
3/24/2016,13.06,7,10.83
3/28/2016,13.09,6.8,10.2
3/29/2016,13.2,7.05,9.01
3/30/2016,13.35,7.2,8.4
3/31/2016,13.5,7.2,8.05
4/1/2016,13.1,7.05,8.16
4/4/2016,12.8,7,8.75
4/5/2016,12.77,6.95,8.56
4/6/2016,12.82,6.9,8.11
4/7/2016,12.52,6.8,8.31
4/8/2016,12.55,6.8,8.5
4/11/2016,12.66,6.85,8.77
4/12/2016,12.81,6.9,8.75
4/13/2016,13.06,7.05,8.53
4/14/2016,13.09,7.1,8.6
4/15/2016,12.94,6.85,8.25
4/18/2016,13.25,6.9,8.03
4/19/2016,13.44,6.95,8.22
4/20/2016,13.64,7.2,8.37
4/21/2016,13.65,7.25,8.25
4/22/2016,13.61,7.3,8.17
4/25/2016,13.58,7.05,8.42
4/26/2016,13.75,7.05,8.09
4/27/2016,13.66,7.05,7.84
4/28/2016,14.09,7,7.21
4/29/2016,13.56,6.9,6.95
5/2/2016,13.62,6.55,7.9
5/3/2016,13.43,6.3,7.44
5/4/2016,13.31,6.3,7.81
5/5/2016,13.32,6.15,7.91
5/6/2016,13.44,6.1,7.96
5/9/2016,13.32,6.05,8.02
5/10/2016,13.49,6,7.96
5/11/2016,13.32,6.3,8.03
5/12/2016,13.35,6.1,8.26
5/13/2016,13.22,6.1,8.03
5/16/2016,13.32,6.15,8.26
5/17/2016,13.14,6.25,8.22
5/18/2016,13.16,6.25,8.2
5/19/2016,13.09,6,8.39
5/20/2016,13.19,6.15,8.35
5/23/2016,13.13,7.1,8.67
5/24/2016,13.29,6.85,8.52
5/25/2016,13.52,6.9,8.82
5/26/2016,13.46,7.05,9
5/27/2016,13.45,6.75,8.6
5/31/2016,13.49,6.8,8.89
6/1/2016,13.11,6.7,8.84
6/2/2016,13.21,6.6,8.92
6/3/2016,13.04,6.5,8.95
6/6/2016,13.18,6.75,8.94
6/7/2016,13.38,6.85,9.48
6/8/2016,13.36,6.95,8.49
6/9/2016,13.26,6.75,8.98
6/10/2016,13.1,6.5,9
6/13/2016,12.98,6.5,9.22
6/14/2016,12.84,6.4,9.2
6/15/2016,13.01,6.3,9.2
6/16/2016,13.12,6.4,9.23
6/17/2016,13.26,6.25,9.39
6/20/2016,13.42,6.38,9.36
6/21/2016,13.22,6.3,9.48
6/22/2016,13.18,6.2,9.4
6/23/2016,13.4,6.2,10
6/24/2016,12.52,5.95,9.62
6/27/2016,12.16,6,9.77
6/28/2016,12.39,6,9.83
6/29/2016,12.55,6,10.03
6/30/2016,12.57,6.2,10.1
7/1/2016,12.72,6.15,10.36
7/5/2016,12.4,5.95,10.96
7/6/2016,12.57,6.1,10.63
7/7/2016,12.75,6,10.86
7/8/2016,13.09,6.15,10.77
7/11/2016,13.27,6.25,10.77
7/12/2016,13.45,6.25,10.73
7/13/2016,13.48,6.05,10.73
7/14/2016,13.59,6.2,10.69
7/15/2016,13.57,6.25,10.61
7/18/2016,13.65,6.2,10.6
7/19/2016,13.65,6.25,10.65
7/20/2016,13.74,6.35,10.08
7/21/2016,13.92,6.15,10
7/22/2016,13.84,6.05,9.74
7/25/2016,13.83,6.1,9.95
7/26/2016,13.86,6.05,9.88
7/27/2016,13.84,6,9.78
7/28/2016,12.71,6,9.85
7/29/2016,12.66,6,9.88
8/1/2016,12.48,6.25,9.69
8/2/2016,11.94,6.15,9.79
8/3/2016,12.13,6,9.73
8/4/2016,12.08,6.05,9.87
8/5/2016,12.19,6.1,9.91
8/8/2016,12.18,6.1,10.28
8/9/2016,12.31,6,10.35
8/10/2016,12.25,5.95,10.31
8/11/2016,12.31,6,10.46
8/12/2016,12.33,5.95,10.75
8/15/2016,12.43,6.1,10.7
8/16/2016,12.34,6.1,10.24
8/17/2016,12.39,6.1,10.48
8/18/2016,12.33,6.15,10.11
8/19/2016,12.39,6.15,10.14
8/22/2016,12.36,6.25,10.44
8/23/2016,12.42,6.35,10.28
8/24/2016,12.3,6.15,10.21
8/25/2016,12.47,6.05,10.09
8/26/2016,12.38,5.9,9.9
8/29/2016,12.47,5.9,9.78
8/30/2016,12.55,5.9,9.99
8/31/2016,12.6,5.8,9.9
9/1/2016,12.44,5.85,10.39
9/2/2016,12.5,5.7,10.34
9/6/2016,12.67,5.7,9.81
9/7/2016,12.7,5.45,9.98
9/8/2016,12.73,5.5,10.03
9/9/2016,12.38,5.25,9.81
9/12/2016,12.7,5.25,9.78
9/13/2016,12.38,5.15,10.25
9/14/2016,12.14,5,9.78
9/15/2016,12.11,4.97,9.2
9/16/2016,12.11,4.9,9.7
9/19/2016,12.11,4.9,9.77
